report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,route_type,road_name,cross_street_type,cross_street_name,off_road_description,municipality,related_non_motorist,collision_type,weather,surface_condition,light,traffic_control,driver_substance_abuse,non_motorist_substance_abuse,person_id,driver_at_fault,injury_severity,circumstance,driver_distracted_by,drivers_license_state,vehicle_id,vehicle_damage_extent,vehicle_first_impact_location,vehicle_second_impact_location,vehicle_body_type,vehicle_movement,vehicle_continuing_dir,vehicle_going_dir,speed_limit,driverless_vehicle,parked_vehicle,vehicle_year,vehicle_make,vehicle_model,equipment_problems,latitude,longitude,geolocation
MCP3048006J,200037328,Montgomery County Police,Property Damage Crash,2020-09-23T08:50:00.000,US (State),COLUMBIA PIKE,County,LOCKWOOD DR,,,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,,B100DCEE-E011-4BAC-96BA-1692F328D97C,Yes,NO APPARENT INJURY,,NOT DISTRACTED,,7B1E8849-355B-44F5-BCA8-B588B849F77D,UNKNOWN,NINE OCLOCK,NINE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,35,No,No,2012,DODGE,RAM,NO MISUSE,39.01857687,-77.01455533,"
,  
(39.01857687, -77.01455533)"
DD56050080,200037315,Rockville Police Departme,Property Damage Crash,2020-09-23T07:30:00.000,Municipality,DENHAM RD,Municipality,BALTIMORE RD,,ROCKVILLE,,OTHER,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,2BED73C3-AA81-4207-B733-B97B38441D14,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,E395874D-40F8-4591-84BF-5AB263656E7D,DISABLING,TWO OCLOCK,TWO OCLOCK,PASSENGER CAR,MAKING RIGHT TURN,South,South,25,No,No,2019,HYUN,2S,NO MISUSE,39.08439533,-77.1345105,"
,  
(39.08439533, -77.1345105)"
MCP9386007M,200037309,Montgomery County Police,Property Damage Crash,2020-09-23T05:45:00.000,Maryland (State),BRADLEY BLVD,County,RAYBURN RD,,,,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,60FE84F7-1E88-4742-9026-07B616B3B7B2,Yes,NO APPARENT INJURY,,UNKNOWN,MD,94C129A1-951F-411F-AE94-87A9E4EEDFA1,DESTROYED,TWELVE OCLOCK,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,North,North,35,No,No,2008,HONDA,PILOT,NO MISUSE,38.993255,-77.120655,"
,  
(38.993255, -77.120655)"
MCP3067001Y,200037308,Montgomery County Police,Property Damage Crash,2020-09-23T05:05:00.000,Maryland (State),MIDCOUNTY HWY,County,GOSHEN RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,3397F7C8-9793-4C81-BF1F-DFF41D89AB1E,Yes,NO APPARENT INJURY,,UNKNOWN,MD,379EE760-8B46-4C26-BC7D-EBB63385BE8C,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,East,East,35,No,No,2003,HONDA,CIVIC,NO MISUSE,39.15777,-77.19211833,"
,  
(39.15777, -77.19211833)"
MCP3067001Y,200037308,Montgomery County Police,Property Damage Crash,2020-09-23T05:05:00.000,Maryland (State),MIDCOUNTY HWY,County,GOSHEN RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,3EF71D22-37ED-436F-BBF8-34149D914A3C,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,BDEF7884-C762-462E-9810-8ABAB53D3DD0,DISABLING,EIGHT OCLOCK,EIGHT OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,No,No,2011,FORD,ESCAPE,NO MISUSE,39.15777,-77.19211833,"
,  
(39.15777, -77.19211833)"
MCP30650037,200037306,Montgomery County Police,Property Damage Crash,2020-09-23T03:30:00.000,Maryland (State),GEORGIA AVE,Ramp,RAMP 1 FR MD 97 NB TO IS 495 WB,,,,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,WARNING SIGN,NONE DETECTED,,5CE9DCAF-7F1E-4E8C-8554-74C5E819FD55,Yes,NO APPARENT INJURY,,NOT DISTRACTED,XX,43D62ACA-D14A-44F1-85CC-C4AE84713482,DESTROYED,ELEVEN OCLOCK,ELEVEN OCLOCK,PASSENGER CAR,MAKING RIGHT TURN,East,North,35,No,No,2008,ACURA,TSX,NO MISUSE,39.01387588,-77.04187292,"
,  
(39.01387588, -77.04187292)"
MCP2428001N,200037329,Montgomery County Police,Property Damage Crash,2020-09-23T01:30:00.000,,,,,WOODS AND FIELD OF HORSE FARM LOCATED AT 15712 EDWARDS FERRY RD,,,SINGLE VEHICLE,CLEAR,,DARK -- UNKNOWN LIGHTING,NO CONTROLS,NONE DETECTED,,8A6D9F2D-4013-4EF4-A028-79E02818E295,Yes,NO APPARENT INJURY,,UNKNOWN,MD,CB956BB1-54AE-4DC0-89D5-DFD5AF2ECF4C,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,0,No,No,2013,HONDA,ACCORD,NO MISUSE,39.117125,-77.46623333,"
,  
(39.117125, -77.46623333)"
MCP3067001X,200037303,Montgomery County Police,Property Damage Crash,2020-09-23T00:30:00.000,Maryland (State),MUNCASTER MILL RD,County,SHADY GROVE RD,,,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,BBFE2BEE-C872-4EB2-BAF2-5EA54A52952E,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,D4B34293-3559-4D2A-B0F6-131758B30BA7,SUPERFICIAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,East,35,No,No,2011,TOYOTA,TRUCK,NO MISUSE,39.1491,-77.14739333,"
,  
(39.1491, -77.14739333)"
MCP3067001X,200037303,Montgomery County Police,Property Damage Crash,2020-09-23T00:30:00.000,Maryland (State),MUNCASTER MILL RD,County,SHADY GROVE RD,,,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,5B1DB8A0-11F5-438C-AD8E-D8A7D3DF3929,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,8153DF5B-C678-4C4C-96E2-8AF97C1C82F3,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,East,35,No,No,2016,TOYT,4S,NO MISUSE,39.1491,-77.14739333,"
,  
(39.1491, -77.14739333)"
DD5625004C,200037393,Rockville Police Departme,Property Damage Crash,2020-09-23T00:30:00.000,Municipality,E JEFFERSON ST,Municipality,CONGRESSIONAL LA,,ROCKVILLE,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,UNKNOWN,,2C60C069-42E8-49C1-8ED1-D0FBCEC225B5,Yes,NO APPARENT INJURY,,UNKNOWN,MD,E05E5843-3B12-4385-9652-0011DD439B8C,NO DAMAGE,TWO OCLOCK,TWO OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,25,No,No,2008,DODGE,CHARGER,UNKNOWN,39.06143189,-77.12825013,"
,  
(39.06143189, -77.12825013)"
MCP30510048,200037300,Montgomery County Police,Property Damage Crash,2020-09-22T23:45:00.000,County,BRADLEY BLVD,County,CONGRESSIONAL CT,,,,OTHER,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,6094A122-7C38-4B98-B804-C60E783C3D25,No,NO APPARENT INJURY,"ANIMAL, N/A",NOT DISTRACTED,MD,7227CDA6-3DD6-44A4-9F8E-F88E3E6FDC3D,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,POLICE VEHICLE/EMERGENCY,MOVING CONSTANT SPEED,East,East,35,No,No,2014,DODGE,CHARGER,NO MISUSE,39.00043741,-77.18409088,"
,  
(39.00043741, -77.18409088)"
MCP2464001Z,200037125,Montgomery County Police,Injury Crash,2020-09-22T23:45:00.000,Interstate (State),CAPITAL BELTWAY,Unknown,MILE MARKER 29.0,,,,SAME DIR REAR END,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,UNKNOWN,,B7C45EDD-417C-4192-A2FE-806CF29E799A,Yes,POSSIBLE INJURY,,DISTRACTED BY OUTSIDE PERSON OBJECT OR EVENT,MD,352EAB19-0557-4D5F-9F3E-D78912971F56,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,East,East,55,No,No,2009,HONDA,ACCORD,UNKNOWN,39.01757167,-76.99134000000001,"
,  
(39.01757167, -76.99134)"
MCP2464001Z,200037125,Montgomery County Police,Injury Crash,2020-09-22T23:45:00.000,Interstate (State),CAPITAL BELTWAY,Unknown,MILE MARKER 29.0,,,,SAME DIR REAR END,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,,8FE35719-C9A6-4C4F-9BAA-3F41B282CC47,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,24715814-BBCA-445A-9A80-2FAC49EEF113,DISABLING,TWO OCLOCK,SIX OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,55,No,No,2017,CADILAC,XTS,NO MISUSE,39.01757167,-76.99134000000001,"
,  
(39.01757167, -76.99134)"
MCP3221001C,200037302,Montgomery County Police,Property Damage Crash,2020-09-22T23:22:00.000,Maryland (State),FALLS RD,County,MONTROSE RD,,,,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,COMBINATION CONTRIBUTED,,6DA88B5D-8F8C-4702-AA7C-EF023DD37EF9,Yes,NO APPARENT INJURY,,UNKNOWN,MD,ECA51AF9-6597-49D5-AFD9-B7670BF17CF9,DESTROYED,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MAKING RIGHT TURN,East,North,35,No,No,2017,HONDA,CIVIC,NO MISUSE,39.05612583,-77.17944924,"
,  
(39.05612583, -77.17944924)"
MCP2737004Q,200037296,Montgomery County Police,Injury Crash,2020-09-22T23:20:00.000,County,BROOKEVILLE RD,Unknown,IN CORP LMTS BROOKEVILLE,,,,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,6FD42001-E1B0-4277-8697-753D51C17B28,Yes,POSSIBLE INJURY,,UNKNOWN,MD,7A98CF2C-83B6-4589-AC4C-AFCC61F5FBF2,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,UNKNOWN,West,West,35,No,No,2013,TOYOTA,BRZ,NO MISUSE,39.182190000000006,-77.06439833,"
,  
(39.18219, -77.06439833)"
MCP31790019,200037292,Montgomery County Police,Property Damage Crash,2020-09-22T22:39:00.000,Maryland (State),NEW HAMPSHIRE AVE,County,EDNOR RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,246667E7-BD5C-4E1B-BDB7-0CF9000E2C17,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,B4138FAD-A83E-42CF-8F4C-028F894562D4,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PICKUP TRUCK,MOVING CONSTANT SPEED,North,North,50,No,No,2019,FORD,F150,UNKNOWN,39.13626,-76.99448000000001,"
,  
(39.13626, -76.99448)"
MCP31790019,200037292,Montgomery County Police,Property Damage Crash,2020-09-22T22:39:00.000,Maryland (State),NEW HAMPSHIRE AVE,County,EDNOR RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,0F10DF23-9842-42BD-AC6E-334C97C9FE1B,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,00646298-4118-46FB-9E8D-5EF91E5CD579,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,RIGHT TURN ON RED,West,West,35,No,No,2013,HONDA,CIVIC,UNKNOWN,39.13626,-76.99448000000001,"
,  
(39.13626, -76.99448)"
DD5630003B,200037289,Rockville Police Departme,Property Damage Crash,2020-09-22T21:57:00.000,Maryland (State),NORBECK RD,Municipality,E GUDE DR,,ROCKVILLE,,SAME DIR REAR END,CLEAR,DRY,DARK -- UNKNOWN LIGHTING,TRAFFIC SIGNAL,UNKNOWN,,66CAE9BC-2035-43FE-B0FA-D88C18C29598,Unknown,NO APPARENT INJURY,,UNKNOWN,MD,4935806C-769E-423D-96DD-1A6A15EC026E,DESTROYED,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,50,No,No,2004,MERZ,2S,NO MISUSE,39.09028031,-77.12828534,"
,  
(39.09028031, -77.12828534)"
DD5630003B,200037289,Rockville Police Departme,Property Damage Crash,2020-09-22T21:57:00.000,Maryland (State),NORBECK RD,Municipality,E GUDE DR,,ROCKVILLE,,SAME DIR REAR END,CLEAR,DRY,DARK -- UNKNOWN LIGHTING,TRAFFIC SIGNAL,UNKNOWN,,DABFAA32-1DCE-4F3E-AFA8-25519BF70D8D,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,8D468613-135F-4102-B664-A2169FF4A002,DISABLING,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,50,No,No,2013,AUDI,4S,NO MISUSE,39.09028031,-77.12828534,"
,  
(39.09028031, -77.12828534)"
MCP3173001F,200037283,Montgomery County Police,Property Damage Crash,2020-09-22T20:45:00.000,County,FAIRLAND RD,US (State),COLUMBIA PIKE,,,,SAME DIRECTION SIDESWIPE,,DRY,DARK NO LIGHTS,,NONE DETECTED,,462E2DE0-F8AF-4297-A5BB-21CB716016C6,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,11FC888F-752F-4358-9D0B-D28579914C95,SUPERFICIAL,TWO OCLOCK,TWO OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,30,No,No,2017,AUDI,A4,NO MISUSE,39.07390933,-76.95625333,"
,  
(39.07390933, -76.95625333)"
MCP3173001F,200037283,Montgomery County Police,Property Damage Crash,2020-09-22T20:45:00.000,County,FAIRLAND RD,US (State),COLUMBIA PIKE,,,,SAME DIRECTION SIDESWIPE,,DRY,DARK NO LIGHTS,,NONE DETECTED,,F44CEC81-BA23-4FCE-BD8B-82516FC948A1,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,E1008C6C-C7E3-453F-849E-8521F874079B,SUPERFICIAL,SEVEN OCLOCK,SEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,30,No,No,2020,CHEV,MAL,NO MISUSE,39.07390933,-76.95625333,"
,  
(39.07390933, -76.95625333)"
MCP3168002B,200037273,Montgomery County Police,Property Damage Crash,2020-09-22T19:41:00.000,Maryland (State),DARNESTOWN RD,County,DUFIEF MILL RD,,,,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,5CA69A45-1810-422F-9C4B-6594A3566228,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,002A4FAE-BEBE-4F7F-AA4E-1479992BE663,DISABLING,ELEVEN OCLOCK,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,45,No,No,2015,INFI,Q40,NO MISUSE,39.10321833,-77.22536833,"
,  
(39.10321833, -77.22536833)"
MCP30790033,200037261,Montgomery County Police,Injury Crash,2020-09-22T18:48:00.000,County,WISTERIA DR,County,WATERS RD,,,,SAME DIRECTION RIGHT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,D193B548-F0FC-4E26-B7DF-12B0499FE8AE,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,E5FDE0B2-2DDE-41A4-8059-81B760EE9F6B,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,West,30,No,No,2018,TOYOTA,CAMRY,NO MISUSE,39.17882833,-77.27348833,"
,  
(39.17882833, -77.27348833)"
MCP30790033,200037261,Montgomery County Police,Injury Crash,2020-09-22T18:48:00.000,County,WISTERIA DR,County,WATERS RD,,,,SAME DIRECTION RIGHT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,2137A6DE-8BC8-4AD9-A762-5917572D1C18,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,3CBC051A-1C73-4429-97B0-68B9846F7542,DISABLING,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,30,No,No,2014,KIA,SOUL,NO MISUSE,39.17882833,-77.27348833,"
,  
(39.17882833, -77.27348833)"
MCP2927003L,200037250,Montgomery County Police,Injury Crash,2020-09-22T17:51:00.000,Maryland (State),GEORGIA AVE,County,WHITE OAK DR,,,,SAME DIR REAR END,,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,,E9ECAD41-7785-45DB-BE87-8DF3CF52BB1D,Yes,NO APPARENT INJURY,,UNKNOWN,,4FF6B4E0-6D08-4BDB-9128-B1ACED094228,UNKNOWN,UNKNOWN,UNKNOWN,,CHANGING LANES,North,North,35,No,No,0,UNKNOWN,UNKNOWN,UNKNOWN,39.01037367,-77.04081336,"
,  
(39.01037367, -77.04081336)"
MCP2927003L,200037250,Montgomery County Police,Injury Crash,2020-09-22T17:51:00.000,Maryland (State),GEORGIA AVE,County,WHITE OAK DR,,,,SAME DIR REAR END,,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,96BA6A72-ECCB-4626-8A1C-02AB6A269D2A,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,321BA0BC-29E4-4104-9A38-A7133B32CA3A,FUNCTIONAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,North,35,No,No,2007,LEXUS,ES350,NO MISUSE,39.01037367,-77.04081336,"
,  
(39.01037367, -77.04081336)"
MCP2927003L,200037250,Montgomery County Police,Injury Crash,2020-09-22T17:51:00.000,Maryland (State),GEORGIA AVE,County,WHITE OAK DR,,,,SAME DIR REAR END,,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,D248778D-A773-4877-A06C-89EDFEFFD73D,Unknown,SUSPECTED MINOR INJURY,,NOT DISTRACTED,DC,34B5C88B-3B8C-4748-8FE9-CF12EF61FFE2,DISABLING,SEVEN OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,No,No,2017,VOLKSWAGON,GTI,NO MISUSE,39.01037367,-77.04081336,"
,  
(39.01037367, -77.04081336)"
MCP3256000C,200037230,Montgomery County Police,Property Damage Crash,2020-09-22T15:23:00.000,County,FLOWER AVE,Maryland (State),PINEY BRANCH RD,,,,SAME DIRECTION RIGHT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,0D39C796-8E02-4B5A-BA05-B72B3F0182B3,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,149368D5-4A1F-44D2-ADD7-AFBD3A79F128,SUPERFICIAL,FIVE OCLOCK,FIVE OCLOCK,PASSENGER CAR,CHANGING LANES,East,North,30,No,No,2007,TOYOTA,CAMRY,NO MISUSE,38.99792167,-77.00348667,"
,  
(38.99792167, -77.00348667)"
MCP3256000C,200037230,Montgomery County Police,Property Damage Crash,2020-09-22T15:23:00.000,County,FLOWER AVE,Maryland (State),PINEY BRANCH RD,,,,SAME DIRECTION RIGHT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,104EA5E9-230D-4FE5-AEBF-F3E65A030F1B,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,8FDEE8BE-4EB8-40F1-96E9-13DF58A6F833,SUPERFICIAL,ELEVEN OCLOCK,ELEVEN OCLOCK,TRANSIT BUS,MAKING RIGHT TURN,East,North,30,No,No,2016,GILLIG,BUS,NO MISUSE,38.99792167,-77.00348667,"
,  
(38.99792167, -77.00348667)"
MCP137800TP,200037229,Montgomery County Police,Property Damage Crash,2020-09-22T14:56:00.000,,,,,PARKING LOT OF 16539 S FREDERICK AVE,,,SINGLE VEHICLE,CLEAR,,DAYLIGHT,,NONE DETECTED,,46DB9BA3-F396-4957-896A-EB4AC1C290A9,Yes,NO APPARENT INJURY,,NOT DISTRACTED,CT,7EAB04B5-F17E-40FB-B587-4EDD92704412,SUPERFICIAL,FOUR OCLOCK,FOUR OCLOCK,TRUCK TRACTOR,MAKING RIGHT TURN,Unknown,Unknown,15,No,No,2018,INTERNATIONAL,TRACTOR,NO MISUSE,39.12678167,-77.18270833,"
,  
(39.12678167, -77.18270833)"
MCP243600BG,200037220,Montgomery County Police,Injury Crash,2020-09-22T14:50:00.000,US (State),COLESVILLE RD,County,TIMBERWOOD AVE,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,OTHER,NONE DETECTED,,AA5EE56F-537E-4F6B-AF1B-AD8217D22F2E,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,2D0D1D5F-EFCB-41B8-8911-9EEA6EA3CD13,FUNCTIONAL,SIX OCLOCK,SIX OCLOCK,PICKUP TRUCK,SLOWING OR STOPPING,North,North,40,No,No,2015,FORD,F150,NO MISUSE,39.02153,-77.01193333,"
,  
(39.02153, -77.01193333)"
MCP243600BG,200037220,Montgomery County Police,Injury Crash,2020-09-22T14:50:00.000,US (State),COLESVILLE RD,County,TIMBERWOOD AVE,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,OTHER,NONE DETECTED,,D004D806-21B4-4710-962D-15B580A3508F,Yes,POSSIBLE INJURY,,UNKNOWN,FL,3A8BD957-45B7-4873-A68A-B9B9FCE200CF,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,40,No,No,2004,ACURA,TL,NO MISUSE,39.02153,-77.01193333,"
,  
(39.02153, -77.01193333)"
MCP137800TN,200037213,Montgomery County Police,Injury Crash,2020-09-22T13:53:00.000,Maryland (State),MUNCASTER MILL RD,County,AIRPARK RD,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,9C751556-F1D4-4822-946A-A28F5AED01A7,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,7433CAFF-EB62-4374-B394-134A94F7EB13,SUPERFICIAL,TWELVE OCLOCK,TWELVE OCLOCK,PICKUP TRUCK,OTHER,West,West,35,No,No,1995,FORD,F350,NO MISUSE,39.14815969,-77.14628606,"
,  
(39.14815969, -77.14628606)"
MCP137800TN,200037213,Montgomery County Police,Injury Crash,2020-09-22T13:53:00.000,Maryland (State),MUNCASTER MILL RD,County,AIRPARK RD,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,5AF6749D-C29C-4CB4-BA08-E618665CCB96,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,000EB6F5-DFA6-487F-AEF4-EF62DDE9F8D6,SUPERFICIAL,SIX OCLOCK,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,West,35,No,No,2003,ACURA,RSX,NO MISUSE,39.14815969,-77.14628606,"
,  
(39.14815969, -77.14628606)"
MCP2394003Z,200037184,Montgomery County Police,Property Damage Crash,2020-09-22T12:25:00.000,Maryland (State),HUNGERFORD DR,Municipality,FREDERICK AVE #2,,ROCKVILLE,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,75E53F7B-D201-4545-8AA0-B73B78A53D6C,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,20B97791-2864-4D8C-82D2-D91EE2176F0E,FUNCTIONAL,EIGHT OCLOCK,EIGHT OCLOCK,(SPORT) UTILITY VEHICLE,STARTING FROM LANE,South,West,25,No,No,2020,LAND ROVER,RANGE ROVER,NO MISUSE,39.09414912,-77.15325966,"
,  
(39.09414912, -77.15325966)"
MCP2394003Z,200037184,Montgomery County Police,Property Damage Crash,2020-09-22T12:25:00.000,Maryland (State),HUNGERFORD DR,Municipality,FREDERICK AVE #2,,ROCKVILLE,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,D5BEB7FF-8D64-49E3-A923-E8CE50B2FA35,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,C6985C06-B619-49F3-90F8-37FF703D480E,FUNCTIONAL,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,No,No,1998,HONDA,ACCORD,NO MISUSE,39.09414912,-77.15325966,"
,  
(39.09414912, -77.15325966)"
MCP1309003J,200037176,Montgomery County Police,Property Damage Crash,2020-09-22T11:39:00.000,County,TIMBER CREEK LA,County,RUNNING BROOK DR,,,,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,,6B05E767-D76F-4FA5-BB92-9B13722925C7,Yes,NO APPARENT INJURY,,UNKNOWN,,CC3A5000-4D6C-4272-BA3D-827C3A6CEFC7,UNKNOWN,ONE OCLOCK,ONE OCLOCK,"CARGO VAN/LIGHT TRUCK 2 AXLES (OVER 10,000LBS (4,536 KG))",PARKING,North,North,25,No,No,2017,ISUZU,TK,UNKNOWN,39.23602667,-77.27368067,"
,  
(39.23602667, -77.27368067)"
MCP3105003G,200037180,Montgomery County Police,Property Damage Crash,2020-09-22T11:29:00.000,County,RIDGE RD,Ramp,RAMP 4 FR IS 270 NB TO RIDGE RD EB,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,30A71AAC-CA01-4C77-9048-75660A2DC870,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,4FCFB016-316B-4776-BC47-CA8EF51D0DC2,FUNCTIONAL,NINE OCLOCK,NINE OCLOCK,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",STARTING FROM LANE,South,North,45,No,No,2019,FORD,F550,NO MISUSE,39.198878,-77.2608225,"
,  
(39.198878, -77.2608225)"
MCP3105003G,200037180,Montgomery County Police,Property Damage Crash,2020-09-22T11:29:00.000,County,RIDGE RD,Ramp,RAMP 4 FR IS 270 NB TO RIDGE RD EB,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,2548ADDF-2A35-483C-9662-D1B9817DB95F,Yes,NO APPARENT INJURY,,UNKNOWN,MD,0782C103-5BEE-4D93-9315-F13B62EF7A0E,DISABLING,TWELVE OCLOCK,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,North,North,45,No,No,2013,FORD,FUSION,NO MISUSE,39.198878,-77.2608225,"
,  
(39.198878, -77.2608225)"
